User ID,Worker ID,Rating
1,6810,2
1,5283,2
1,2350,5
1,1341,1
1,7298,4
1,3150,4
1,3647,3
1,8804,2
1,3114,1
1,3283,1
1,1253,1
1,6318,2
1,9396,5
1,7141,2
1,5583,1
1,5174,5
1,2582,1
1,8576,4
1,2414,5
1,7584,1
1,6989,3
1,2459,4
1,2821,2
1,8747,5
1,5398,4
1,6300,3
1,3156,3
1,4803,5
1,2057,4
1,1410,4
1,9817,5
1,5002,4
1,8667,3
1,8605,2
1,6533,1
1,7989,3
1,3358,2
1,7828,5
1,9947,1
1,1488,4
2,3181,2
2,4658,4
2,2893,3
2,7128,5
2,248,5
2,8964,4
2,2660,4
2,9269,1
2,9390,2
2,6680,4
2,8828,3
2,2519,5
2,820,2
2,9352,5
2,4556,3
2,5728,2
2,5102,3
2,4665,1
2,8738,2
2,9841,5
2,8927,4
2,9382,2
2,2496,1
2,739,4
2,4888,2
2,972,5
2,7363,3
2,6501,1
2,4001,3
2,8362,4
2,3106,5
2,9740,1
2,7606,5
2,3246,4
2,9709,5
2,9162,4
2,5928,1
2,1290,1
2,1892,3
2,9936,5
3,6220,2
3,3385,1
3,75,2
3,5814,1
3,9316,2
3,4780,4
3,7512,5
3,1276,5
3,4223,1
3,9145,1
3,1937,1
3,978,1
3,6203,3
3,2620,4
3,210,5
3,8354,4
3,9747,1
3,7603,2
3,7047,2
3,554,3
3,5879,5
3,52,5
3,8290,4
3,9173,2
3,3519,2
3,6589,5
3,1955,1
3,8159,5
3,6578,1
3,3694,3
3,1644,3
3,4932,1
3,9844,3
3,153,1
3,8318,2
3,8474,5
3,7403,2
3,7464,3
3,3324,1
3,8199,5
4,1619,5
4,4779,2
4,6404,2
4,1943,1
4,7400,4
4,3990,3
4,5197,5
4,1566,3
4,4025,3
4,8766,3
4,6092,2
4,4682,2
4,1891,1
4,6006,1
4,6493,2
4,9864,2
4,9730,3
4,1049,2
4,6966,3
4,4409,5
4,4814,2
4,4260,3
4,409,4
4,3245,5
4,7733,5
4,607,4
4,9017,1
4,1082,5
4,1896,3
4,4859,2
4,3589,4
4,6000,2
4,5494,1
4,6955,4
4,8666,4
4,5704,3
4,2519,3
4,266,3
4,3397,3
4,5679,2
5,8363,1
5,8472,1
5,8923,4
5,4774,1
5,4892,1
5,5088,4
5,2533,4
5,2202,4
5,1343,2
5,6607,2
5,1758,3
5,4343,1
5,874,1
5,5028,4
5,2190,4
5,5036,3
5,825,2
5,6177,3
5,3318,1
5,6385,4
5,1663,2
5,6184,2
5,7378,2
5,78,2
5,8415,2
5,335,1
5,8645,4
5,6728,1
5,9116,5
5,3848,4
5,4819,3
5,3188,1
5,4061,4
5,7044,5
5,6323,4
5,3054,1
5,5527,2
5,6726,1
5,3632,4
5,8582,4
6,7346,2
6,1040,5
6,7774,5
6,3964,2
6,4467,3
6,7325,2
6,1230,3
6,5077,1
6,5276,5
6,5627,1
6,7536,5
6,3225,4
6,2257,2
6,2719,4
6,1114,1
6,9437,1
6,1786,2
6,2927,2
6,3841,4
6,1618,3
6,2211,2
6,8823,2
6,3932,1
6,8792,2
6,9996,4
6,9503,4
6,3801,3
6,8929,2
6,6518,4
6,9468,1
6,6069,4
6,2569,2
6,9650,4
6,8704,2
6,604,1
6,9631,3
6,6929,4
6,1880,2
6,1535,2
6,7423,2
7,9440,2
7,1347,5
7,6663,5
7,9319,1
7,4775,4
7,6010,1
7,7009,5
7,2179,3
7,6370,1
7,4554,5
7,1657,2
7,1250,2
7,111,4
7,742,3
7,1448,5
7,9768,2
7,7439,4
7,8462,2
7,4083,1
7,1672,2
7,2412,2
7,9825,1
7,3543,3
7,2796,2
7,3715,1
7,4601,5
7,699,4
7,2023,1
7,5075,4
7,3692,2
7,3520,3
7,4997,1
7,8490,3
7,6074,1
7,1910,3
7,9633,3
7,9763,1
7,8616,5
7,838,2
7,8835,3
8,9272,4
8,6118,2
8,3896,1
8,2488,5
8,9946,2
8,8004,2
8,2084,2
8,9576,1
8,7936,2
8,6347,5
8,9804,1
8,5425,1
8,2810,3
8,3898,1
8,3938,4
8,9918,1
8,9193,2
8,4360,3
8,734,5
8,5336,3
8,4263,1
8,8484,3
8,155,1
8,7077,5
8,8875,1
8,9890,4
8,3572,3
8,5601,3
8,416,1
8,5496,3
8,3730,4
8,7360,1
8,3060,3
8,1765,3
8,7302,3
8,5237,4
8,2705,5
8,8649,4
8,3383,5
8,9332,1
9,8265,3
9,9298,5
9,2910,1
9,1300,4
9,2026,3
9,1597,4
9,9683,2
9,98,1
9,6247,4
9,818,3
9,3192,5
9,7465,5
9,1153,3
9,4967,1
9,668,4
9,2285,3
9,8000,2
9,5480,5
9,8515,4
9,4742,3
9,5664,3
9,1655,4
9,2246,2
9,16,4
9,8787,4
9,9925,5
9,1681,1
9,9836,3
9,9417,4
9,7990,2
9,556,4
9,2676,5
9,59,2
9,6647,1
9,1666,3
9,7927,2
9,994,5
9,4889,2
9,622,4
9,8572,1
10,75,1
10,8987,5
10,7802,5
10,2867,4
10,6102,2
10,3479,5
10,4091,4
10,2701,3
10,5402,2
10,7254,2
10,9770,1
10,4787,4
10,9926,5
10,6837,5
10,2437,2
10,6542,2
10,5775,1
10,3548,3
10,7898,3
10,1067,5
10,9703,2
10,6349,3
10,4610,3
10,3412,3
10,3548,2
10,4666,1
10,6585,3
